character,dialogue
HAN,Relax. I'll talk to Lando and see what I can find out.
LEIA,I don't trust Lando.
HAN,"Well, I don't trust him, either. But he is my friend. Besides,  we'll soon be gone."
LEIA,"And then you're as good as gone, aren't you?"
LEIA,What happened?
HAN,Where? Found him in a junk pile?
LEIA,"Oh, what a mess. Chewie, do you think you can repair him?"
HAN,Lando's got people who can fix him.
LEIA,"No, thanks."
LEIA,Not really.
LEIA,Thank you.
HAN,No. No problem. Why?
LEIA,So you're part of the mining guild then?
HAN,Aren't you afraid the Empire's going to find out about this  little operation and shut you down?
VADER,We would be honored if you would join us.
HAN,"I'm sorry, too."
THREEPIO,"Mmmm. Oh, my. Uh, I, uh -- Take this off! I, uh, don't mean  to intrude here. I, don't, no, no, no...Please don't get up. No!"
THREEPIO,"Stormtroopers? Here? We're in danger. I must tell the  others. Oh, no! I've been shot!"
VADER,You may take Captain Solo to Jabba the Hut after I  have Skywalker.
VADER,He will not be permanently damaged.
VADER,They must never again leave this city.
VADER,Perhaps you think you're being treated unfairly.
VADER,Good. It would be unfortunate if I had to leave a garrison  here.
THREEPIO,"Oh, yes, that's very good. I like that. Oh! Something's not  right because now I can't see. Wait. Wait! Oh, my! what have you done? I'm backwards, you stupid furball. Only an overgrown mophead like you would be stupid enough..."
HAN,I feel terrible.
LEIA,Why are they doing this?
HAN,They never even asked me any questions.
LEIA,Lando.
HAN,"Get out of here, Lando!"
HAN,Over to you?
LEIA,What about Han?
LEIA,Vader wants us all dead.
HAN,Luke?
LEIA,And we're the bait.
HAN,"Perfect. You fixed us all pretty good, didn't you?   My friend!"
HAN,"Yeah, you're a real hero."
LEIA,You certainly have a way with people.
VADER,"This facility is crude, but it should be adequate to freeze  Skywalker for his journey to the Emperor."
VADER,Good. Monitor Skywalker and allow him to land.
VADER,I do not want the Emperor's prize damaged. We will test it...on  Captain Solo.
THREEPIO,"If only you had attached my legs, I wouldn't be in this  ridiculous position. Now, remember, Chewbacca, you have a responsibility to me, so don't do anything foolish."
HAN,What's going on...buddy?
VADER,The Empire will compensate you if he dies. Put him in!
THREEPIO,"Oh, no! No, no, no! Stop, Chewbacca, stop...!"
HAN,"Stop, Chewie, stop! Do you hear me? Stop!"
THREEPIO,"Yes, stop, please! I'm not ready to die."
HAN,"Chewie! Chewie, this won't help me. Hey!"
HAN,Save your strength. There'll be another time. The princess -- you  have to take care of her. You hear me?
LEIA,I love you!
HAN,I know.
THREEPIO,"What...what's going on? Turn around, Chewbacca, I can't see.  Oh...they've encased him in carbonite. He should be quite well-protected -- if he survives the freezing process, that is."
VADER,"Well, Calrissian, did he survive?"
VADER,He's all yours bounty hunter. Reset the chamber for Skywalker.
VADER,"Good. See to it that he finds his way here. Calrissian, take  the princess and the Wookiee to my ship."
VADER,I am altering the deal. Pray I don't alter it any further.
LEIA,"Luke! Luke, don't -- it's a trap! It's a trap!"
VADER,"The Force is with you, young Skywalker. But you are not a Jedi  yet."
LEIA,What do you think you're doing?
THREEPIO,I knew all along it had to be a mistake.
LEIA,Do you think that after what you did to Han we're going to trust  you?
THREEPIO,"What are you doing? Trust him, trust him!"
LEIA,"Oh, so we understand, don't we, Chewie? He had no choice."
LEIA,We don't need any of your help.
LEIA,What?
THREEPIO,It sounds like Han.
LEIA,Chewie.
THREEPIO,"I'm terribly sorry about all this. After all,  he's only a Wookiee."
THREEPIO,Artoo! Artoo! Where have you been?
THREEPIO,"Turn around, you wooly...!  Hurry, hurry! We're  trying to save Han from the bounty hunter!"
THREEPIO,"Well, at least your still in one piece! Look what happened  to me!"
THREEPIO,"Oh, no! Chewie, they're behind you!"
VADER,"You have learned much, young one."
VADER,"Your destiny lies with me, Skywalker. Obi-Wan knew this to be  true."
VADER,All to easy. Perhaps you are not as strong as the Emperor  thought.
VADER,Impressive...most impressive.
VADER,Obi-Wan has taught you well. You have controlled your fear...  now release your anger.
VADER,Only your hatred can destroy me.
THREEPIO,"Artoo, you can tell the computer to override the security  system."
THREEPIO,Don't blame me. I'm an interpreter. I'm not supposed to know  a power socket from a computer terminal.
THREEPIO,"What are you talking about? We're not interested in the  hyperdrive on the Millennium Falcon. It's fixed! Just open the door, you stupid lump."
THREEPIO,I never doubted you for a second. Wonderful!
THREEPIO,"Ouch! Oh! Ah! That hurt, Bend down, you thoughtless...Ow!"
THREEPIO,"I thought that hairy beast would be the end of me. Of  course, I've looked better."
VADER,You are beaten. It is useless to resist. Don't let yourself be  destroyed as Obi-Wan did.
VADER,"There is no escape. Don't make me destroy you. You do not yet  realize your importance. You have only begun to discover you power. Join me and I will complete your training. With our combined strength, we can end this destructive conflict and bring order to the galaxy."
VADER,If you only knew the power of the dark side. Obi-Wan never told  you what happened to your father.
VADER,No. I am your father.
VADER,Search your feelings. You know it to be true.
VADER,"Luke. You can destroy the Emperor. He has foreseen this. It is  your destiny. Join me, and we can rule the galaxy as father and son. Come with me. It's the only way."
LEIA,Luke...We've got to go back.
LEIA,I know where Luke is.
LEIA,"Chewie, just do it."
VADER,Bring my shuttle.
LEIA,"It's Luke. Chewie, slow down. Slow down and we'll get under him.  Lando, open the top hatch."
LEIA,"Okay. Easy, Chewie."
LEIA,Lando?
LEIA,I'll be back.
LEIA,Star Destroyer.
LEIA,If your people fixed the hyperdrive.
LEIA,All the coordinates are set. It's now or never.
VADER,Did your men deactivate the hyperdrive on the Millennium  Falcon?
VADER,Good. Prepare the boarding party and set for your weapons for  stun.
THREEPIO,Noisy brute. Why don't we just go into light-speed?
THREEPIO,We can't? How would you know the hyperdrive is deactivated?
THREEPIO,"The city's central computer told you? Artoo-Detoo, you know  better than to trust a strange computer. Ouch! Pay attention to what you're doing!"
VADER,Luke.
VADER,"Son, come with me."
VADER,Luke...it is your destiny.
THREEPIO,"Artoo, come back at once! You haven't finished with me yet!  You don't know how to fix the hyperdrive. Chewbacca can do it. I'm standing here in pieces, and you're having delusions of grandeur!"
THREEPIO,"Oh, you did it!"
