character,dialogue
ANAKIN,. . . Is there someone else?
PADME,"(peeved, angry) No! Why do you think that? Your jealousy upsets me so much, Anakin. I do nothing to betray you, yet you still don't trust me. Nothing has changed."
ANAKIN,"(sheepish) I'm afraid of losing you, Padme . . . that's all."
PADME,"I will never stop loving you, Anakin. My only fear is losing you."
ANAKIN,It's just that I've never seen you like this . . .
PADME,Something wonderful has happened.
PADME,"(continuing) I'm . . . Annie, I'm pregnant."
ANAKIN,That's . . . that's wonderful.
PADME,What are we going to do?
ANAKIN,"We're not going to worry about anything right now, all right? This is a happy moment. The happiest moment of my life."
ANAKIN,". . . every second I was thinking of you. Protecting the endless, nameless Outer Rim settlements became a torture . . . the battles were easy, the longing became unbearable . . . I've never been so happy as I am at this moment."
PADME,"Annie, I want to have our baby back home on Naboo. We could go to the lake country where no one would know . . . where we would be safe. I could go early-and fix up the baby's room. I know the perfect spot, right by the gardens."
ANAKIN,You are so beautiful!
PADME,It's only because I'm so in love . . .
ANAKIN,"No, it's because I'm so in love with you."
PADME,So love has blinded you?
ANAKIN,"Well, that's not exactly what I meant . . ."
PADME,But it's probably true!
ANAKIN,I haven't laughed in so long . . .
PADME,Neither have I.
PADME,"Anakin, help me! Help, Anakin! Anakin, I love you. I love you."
PADME,Anakin??
PADME,What's bothering you?
ANAKIN,Nothing . . .
ANAKIN,(continuing) I remember when I gave this to you.
PADME,"Anakin, how long is it going to take for us to be honest with each other?"
ANAKIN,It was a dream.
PADME,Bad?
ANAKIN,Like the ones I used to have about my mother just before she died.
PADME,And?
ANAKIN,It was about you.
PADME,Tell me.
ANAKIN,It was only a dream.
ANAKIN,(continuing) You die in childbirth . . .
PADME,And the baby?
ANAKIN,I don't know.
PADME,It was only a dream.
ANAKIN,". . . I won't let this one become real, Padme."
PADME,"Anakin, this baby will change our lives. I doubt the Queen will continue to allow me to serve in the Senate, and if the Council discovers you are the father, you will be expelled from the Jedi Order."
ANAKIN,I know .
PADME,"Anakin, do you think Obi-Wan might be able to help us?"
ANAKIN,(suspicious) Have you told him anything?
PADME,"No, but he's your mentor, your best friend . . . he must suspect something."
ANAKIN,"He's been a father to me, but he's still on the Council. Don't tell him anything!"
PADME,"I won't, Anakin."
ANAKIN,"I don't need his help . . . Our baby is a blessing, not a problem."
YODA,Premonitions . . . premonitions . . . Hmmmm . . . these visions you have . . .
ANAKIN,"They are of pain, suffering, death . . ."
YODA,"Yourself you speak of, or someone you know?"
ANAKIN,Someone . . .
YODA,. . . close to you?
ANAKIN,Yes.
YODA,"Careful you must be when sensing the future, Anakin. The fear of loss is a path to the dark side."
ANAKIN,"I won't let these visions come true, Master Yoda."
YODA,"Death is a natural part of life. Rejoice for those around you who transform into the Force. Mourn them, do not. Miss them, do not. Attachment leads to jealousy. The shadow of greed, that is."
ANAKIN,"What must I do, Master Yoda?"
YODA,Train yourself to let go of everything you fear to lose.
OBI-WAN,You missed the report on the Outer Rim sieges.
ANAKIN,"I'm sorry, I was held up. I have no excuse."
OBI-WAN,"In short, they are going very well. Saleucami has fallen, and Master Vos has moved his troops to Boz Pity."
ANAKIN,What's wrong then?
OBI-WAN,The Senate is expected to vote more executive powers to the Chancellor today.
ANAKIN,"Well, that can only mean less deliberating and more action. Is that bad? It will make it easier for us to end this war."
OBI-WAN,"Anakin, be careful of your friend Palpatine."
ANAKIN,Be careful of what?
OBI-WAN,He has requested your presence.
ANAKIN,What for?
OBI-WAN,He would not say.
ANAKIN,"He didn't inform the Jedi Council? That's unusual, isn't it?"
OBI-WAN,"All of this is unusual, and it's making me feel uneasy. You're probably aware that relations between the Council and the Chancellor are stressed."
ANAKIN,"I know the Council has grown wary of the Chancellor's power, mine also for that matter. Aren't we all working together to save the Republic? Why all this distrust?"
OBI-WAN,"The Force grows dark, Anakin, and we are all affected by it. Be wary of your feelings."
ANAKIN,The Jedi will no longer report to the Senate?
ANAKIN,"I agree, but the Jedi Council may not see it that way."
ANAKIN,"With all due respect, sir, the Council is in no mood for more constitutional amendments."
ANAKIN,Everyone will agree on that.
ANAKIN,Of course.
ANAKIN,What do you mean?
ANAKIN,"I can assure you that the Jedi are dedicated to the values of the Republic, sir."
ANAKIN,For what? I don't understand.
ANAKIN,"Me? A Master? I am overwhelmed, sir, but the Council elects its own members. They will never accept this."
PADME,Do you think he will dismantle the Senate?
PADME,I can't believe it has come to this! Chancellor Palpatine is one of my oldest advisors. He served as my Ambassador when I was Queen.
PADME,"Say no more. Senator Organa. I understand. At this point, it's better to leave some things unsaid."
PADME,Agreed.
ANAKIN,I will do my best to uphold the principles of the Jedi Order.
YODA,"Allow this appointment lightly, the Council does not. Disturbing is this move by Chancellor Palpatine."
ANAKIN,I understand.
ANAKIN,"What? ! How can you do this?? This is outrageous, it's unfair . . . I'm more powerful than any of you. How can you be on the Council and not be a Master?"
ANAKIN,"Forgive me, Master."
YODA,"Hiding in the Outer Rim, Grievous is. The outlying systems, you must sweep."
OBI-WAN,It may take some time . . . we do not have many ships to spare.
OBI-WAN,"And yet, it would be fatal for us to allow the droid armies to regroup."
YODA,"Master Kenobi, our spies contact, you must, and then wait."
OBI-WAN,"He's right, that is a system we cannot afford to lose. It's the main navigation route for the southwestern quadrant."
ANAKIN,I know that system well. It would take us little time to drive the droids off that planet.
YODA,"Go, I will. Good relations with the Wookiees, I have."
ANAKIN,"What kind of nonsense is this, put me on the Council and not make me a Master!?? That's never been done in the history of the Jedi. It's insulting!"
OBI-WAN,"Calm down, Anakin. You have been given a great honor. To be on the Council at your age . . . It's never happened before. Listen to me, Anakin. The fact of the matter is you're too close to the Chancellor. The Council doesn't like it when he interferes in Jedi affairs."
ANAKIN,"I swear to you, I didn't ask to be put on the Council . . ."
OBI-WAN,But it's what you wanted! Your friendship with Chancellor Palpatine seems to have paid off.
ANAKIN,That has nothing to do with this.
OBI-WAN,"Anakin, regardless of how it happened, you find yourself in a delicate situation."
ANAKIN,You mean divided loyalties.
OBI-WAN,I warned you there was tension between the Council and the Chancellor. I was very clear. Why didn't you listen? You walked right into it.
ANAKIN,The Council is upset I'm the youngest to ever serve.
OBI-WAN,"No, it is not. Anakin, I worry when you speak of jealousy and pride. Those are not Jedi thoughts. They're dangerous, dark thoughts."
ANAKIN,"Master, you of all people should have confidence in my abilities. I know where my loyalties lie."
OBI-WAN,I hope so . . .
ANAKIN,I sense there's more to this talk than you're saying.
OBI-WAN,"Anakin, the only reason the Council has approved your appointment is because the Chancellor trusts you."
ANAKIN,And?
OBI-WAN,"Anakin, look, I am on your side. I didn't want to see you put in this situation."
ANAKIN,What situation?
OBI-WAN,(takes a deep breath) The Council wants you to report on all of the Chancellor's dealings. They want to know what he's up to.
ANAKIN,They want me to spy on the Chancellor? That's treason!
OBI-WAN,"We are at war, Anakin. The Jedi Council is sworn to uphold the principles of the Republic, even if the Chancellor does not."
ANAKIN,Why didn't the Council give me this assignment when we were in session?
OBI-WAN,This assignment is not to be on record. The Council asked me to approach you on this personally.
ANAKIN,"The Chancellor is not a bad man, Obi-Wan. He befriended me. He's watched out for me ever since I arrived here."
OBI-WAN,"That is why you must help us, Anakin. Our allegiance is to the Senate, not to its leader who has managed to stay in office long after his term has expired."
ANAKIN,"Master, the Senate demanded that he stay longer."
OBI-WAN,"Yes, but use your feelings, Anakin. Something is out of place."
ANAKIN,You're asking me to do something against the Jedi Code. Against the Republic. Against a mentor . . . and a friend. That's what's out of place here. Why are you asking this of me?
OBI-WAN,The Council is asking you.
OBI-WAN,Anakin did not take to his assignment with much enthusiasm.
YODA,"Too much under the sway of the Chancellor, he is. Much anger there is in him. Too much pride in his powers."
OBI-WAN,He'll be all right. I trust him with my life.
OBI-WAN,"With all due respect, Master, is he not the Chosen One? Is he not to destroy the Sith and bring balance to the Force?"
YODA,A prophecy . . . that misread could have been.
OBI-WAN,He will not let me down. He never has.
YODA,"I hope right you are. And now destroy the Droid armies on Kashyyyk, I will. May the Force be with you."
PADME,"Thank you, Captain."
PADME,I'll be up in a while.
C-3PO,"Is there anything I might do for you, my lady?"
PADME,"Yes, make sure all the security droids are working. Thank you, Threepio."
ANAKIN,"Beautiful, isn't it?"
PADME,You startled me.
ANAKIN,How are you feeling?
PADME,He keeps kicking.
ANAKIN,He?! Why do you think it's a boy?
PADME,(laughs) My motherly intuition.
ANAKIN,"Whoa! With a kick that strong, it's got to be a girl."
PADME,I heard about your appointment. Anakin. I'm so proud of you.
ANAKIN,"I may be on the Council, but . . . they refused to accept me as a Jedi Master."
PADME,"Patience. In time, they will recognize your skills."
ANAKIN,"They still treat me as if I were a Padawan learner. . . they fear my power, that's the problem."
PADME,Anakin . . .
ANAKIN,"Sometimes, I wonder what's happening to the Jedi Order . . . I think this war is destroying the principles of the Republic."
PADME,Have you ever considered that we may be on the wrong side?
ANAKIN,(suspicious) What do you mean?
PADME,"What if the democracy we thought we were serving no longer exists, and the Republic has become the very evil we have been fighting to destroy?"
ANAKIN,I don't believe that. And you're sounding like a Separatist!
PADME,"Anakin, this war represents a failure to listen . . . Now, you're closer to the Chancellor than anyone. Please, please ask him to stop the fighting and let diplomacy resume."
ANAKIN,"(growing angry) Don't ask me to do that, Padme. Make a motion in the Senate, where that kind of a request belongs. I'm not your errand boy. I'm not anyone's errand boy!"
PADME,What is it?
ANAKIN,Nothing.
PADME,Don't do this . . . don't shut me out. Let me help you.
ANAKIN,You can't help me . . . I'm trying to help you.
ANAKIN,(continuing) I sense . . . there are things you are not telling me.
PADME,I sense there are things you are not telling me.
PADME,"(continuing) Hold me . . . like you did by the lake on Naboo, so long ago . . . when there was nothing but our love ... No politics, no plotting ... no war."
ANAKIN,"You wanted to see me, Chancellor."
ANAKIN,"At last, we'll be able to capture that monster and end this war."
ANAKIN,They try.
ANAKIN,I'm not sure I understand.
ANAKIN,I don't think . . .
ANAKIN,I know they don't trust you . . .
ANAKIN,I have to admit my trust in them has been shaken.
ANAKIN,I don't know ... I don't know what to say.
ANAKIN,The Jedi use their power for good.
ANAKIN,. . . evil.
ANAKIN,"The Sith rely on their passion for their strength. They think inward, only about themselves."
ANAKIN,The Jedi are selfless . . . they only care about others.
ANAKIN,I'm not sure it's wrong.
ANAKIN,No.
ANAKIN,He could actually save people from death?
ANAKIN,What happened to him?
ANAKIN,Is it possible to learn this power?
ANAKIN,A partial message was intercepted in a diplomatic packet from the Chairman of Utapau.
YODA,"Act on this, we must. The capture of General Grievous will end this war. Quickly and decisively we should proceed."
OBI-WAN,Does everyone agree?
ANAKIN,The Chancellor has requested that I lead the campaign.
YODA,"A Master is needed, with more experience."
ANAKIN,He was not so successful the last time he met Grievous.
ANAKIN,"(continuing) No offense, my Master, but I'm only stating a fact."
OBI-WAN,"Oh no, you're quite right, but I do have the most experience with his ways of combat."
YODA,"Obi-Wan, my choice is."
YODA,I agree.
YODA,"Then now the time is, Commander."
OBI-WAN,Has Anakin been to see you?
PADME,Several times . . . I was so happy to hear he was accepted on the Jedi Council.
OBI-WAN,"I know ... he deserves it. He is impatient, strong willed, very opinionated, but truly gifted."
PADME,"You're not just here to say hello. Something is wrong, isn't it?"
OBI-WAN,"You should be a Jedi, Padme."
PADME,You're not very good at hiding your feelings.
OBI-WAN,It's Anakin . . . He's becoming moody and detached. He's been put in a difficult position as the Chancellor's representative . . . but I think it's more than that. I was hoping he may have talked to you.
PADME,Why would he talk to me about his work?
OBI-WAN,Neither of you is very good at hiding your feelings either.
PADME,Don't give me that look.
OBI-WAN,I know how he feels about you.
PADME,(nervous) What did he say?
OBI-WAN,Nothing. He didn't have to.
PADME,I don't know what you're talking about.
OBI-WAN,"I know you both too well. I can see you two are in love. Padme, I'm worried about him."
OBI-WAN,(continuing) I fear your relationship has confused him. He's changed considerably since we returned . . .
OBI-WAN,"(continuing) Padme, I'm not telling the Council about any of this. I ... I hope I didn't upset you. We're all friends, I care about both of you . . ."
PADME,"Thank you, Obi-Wan."
OBI-WAN,Please do what you can to help him.
PADME,We cannot let this turn into another war.
PADME,I know a Jedi I feel it would be wise to consult.
PADME,I only wish to discuss this with one . . . one I trust.
PADME,The Jedi aren't any happier with the situation than we are . . .
ANAKIN,"You're going to need me on this one, Master."
OBI-WAN,"Oh, I agree. However it may turn out just to be a wild bantha chase."
ANAKIN,Master!
ANAKIN,"(continuing) Master, I've disappointed you. I have not been very appreciative of your training . . . I have been arrogant and I apologize . . . I've just been so frustrated with the Council. Your friendship means everything to me."
OBI-WAN,"You are strong and wise, Anakin, and I am very proud of you. I have trained you since you were a small boy. I have taught you everything I know. And you have become a far greater Jedi than I could ever hope to be, and you have saved my life more times than I can remember. But be patient, Anakin. It won't be long before the Council makes you a Jedi Master."
OBI-WAN,(continuing) Don't worry. I have enough clones with me to take three systems the size of Utapau. I think I'll be able to handle the situation . . . even without your help.
ANAKIN,"Well, there's always a first time."
ANAKIN,"Obi-Wan, may the Force be with you."
OBI-WAN,"Good-bye, old friend. May the Force be with you."
OBI-WAN,I'll keep them distracted until you get there. Just don't take too long.
OBI-WAN,(laughing) Cato Nemoidia . . . for starters.
OBI-WAN,"Very well, the burden is on me not to destroy all the droids before you get there."
ANAKIN,He will soon have Grievous's head.
ANAKIN,The Council was very sure in its decision.
ANAKIN,"Hi, Jar Jar."
ANAKIN,Not fit? Why would anyone think that?
ANAKIN,That's ridiculous. Who?!?
ANAKIN,That's impossible. I would know.
OBI-WAN,Save your energy.
PADME,I can't!
OBI-WAN,"Don't give up, Padme. Don't give up . . ."
ANAKIN,"I sense someone familiar . . . Obi-Wan's been here, hasn't he?"
PADME,He came by this morning.
ANAKIN,What did he want?
PADME,He's worried about you.
ANAKIN,"You told him about us, didn't you?"
PADME,"He's your best friend, Anakin. He says you're under a lot of stress."
ANAKIN,And he's not?
PADME,You have been moody lately.
ANAKIN,I'm not moody . . .
PADME,Anakin! Don't do this again.
ANAKIN,I don't know ... I feel . . . lost.
PADME,Lost? What do you mean? You're always so sure of yourself. I don't understand.
ANAKIN,Obi-Wan and the Council don't trust me.
PADME,They trust you with their lives. Obi-Wan loves you as a son.
ANAKIN,"Something's happening . . . I'm not the Jedi I should be. I am one of the most powerful Jedi, but I'm not satisfied ... I want more, and I know I shouldn't."
PADME,You expect too much of yourself.
ANAKIN,I have found a way to save you.
PADME,Save me?
ANAKIN,From my nightmares.
PADME,Is that what's bothering you?
ANAKIN,"I won't lose you, Padme."
PADME,"I'm not going to die in childbirth, Annie. I promise you."
ANAKIN,"No, I promise you! I am becoming so powerful with my new knowledge of the Force, I will be able to keep you from dying."
PADME,"You don't need more power, Anakin. I believe you can protect me against anything, just as you are."
OBI-WAN,"Unfortunately, the war."
OBI-WAN,"With your kind permission, I should like some fuel and to use your city as a base as I search nearby systems for General Grievous."
OBI-WAN,I understand.
OBI-WAN,"Tell your people to take shelter. If you have warriors, now is the time."
OBI-WAN,"(continuing) Geenine, take the Fighter back to the ship. I'm staying here. Tell Cody I've made contact."
OBI-WAN,I need transportation.
OBI-WAN,Get it for me.
OBI-WAN,This one.
OBI-WAN,"Good girl, Boga."
OBI-WAN,"Hello, there!"
OBI-WAN,Your move.
OBI-WAN,You forget I trained the Jedi that defeated Count Dooku!
OBI-WAN,"I may not defeat your droids, but my troops certainly will."
